Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
MED Over Sampled,XGBoost - SSL - Self Training,0.942296819787986,0.7183997240903605,0.5755733628074053,0.9555045871559632,10,150
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,10,150
MED Under Sampled,XGBoost - SSL - Self Training,0.9708127208480566,0.8265434691306174,0.7621998450813323,0.9027522935779816,10,150
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,10,150
MED Normal,XGBoost - SSL - Self Training,0.9260424028268552,0.6678305030947469,0.5105556903664159,0.9651376146788992,10,150
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,10,150
MED Over Sampled,XGBoost - SSL - Co Training,0.9150883392226148,0.6366248298805384,0.474847732912249,0.9655963302752294,10,150
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,10,150
MED Under Sampled,XGBoost - SSL - Co Training,0.9634982332155476,0.7715107277151073,0.7449807774455361,0.8,10,150
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,10,150
MED Normal,XGBoost - SSL - Co Training,0.9254770318021202,0.6662446589650262,0.5085769509543367,0.9655963302752294,10,150
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,15,100
MED Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.942190812720848,0.7198630136986301,0.5743169398907104,0.9642201834862384,15,100
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,15,100
MED Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.937243816254417,0.4555487431023912,0.6866913123844732,0.3408256880733945,15,100
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,15,100
MED Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9260424028268552,0.670133963750985,0.5104441776710684,0.9752293577981652,15,100
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,15,100
MED Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9419081272084806,0.717816683831102,0.5735052111903456,0.9591743119266056,15,100
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,15,100
MED Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.937243816254417,0.4555487431023912,0.6866913123844732,0.3408256880733945,15,100
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,15,100
MED Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.926678445229682,0.6718329906689863,0.5126719768283853,0.9743119266055046,15,100
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,15,100
MED Over Sampled,XGBoost - AL - Query By Committee,0.9224028268551236,0.6571963783952545,0.4981069569332702,0.9655963302752294,15,100
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,15,100
