Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,10,150
MED Over Sampled,Random Forest - SSL - Self Training,0.893305785123967,0.441850410722006,0.3700217233888486,0.5482832618025751,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,10,150
MED Under Sampled,Random Forest - SSL - Self Training,0.8877685950413223,0.4411522633744856,0.3578104138851802,0.575107296137339,10,150
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,10,150
MED Normal,Random Forest - SSL - Self Training,0.903801652892562,0.4483412322274882,0.4015280135823429,0.5075107296137339,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,10,150
MED Over Sampled,Random Forest - SSL - Co Training,0.9004132231404959,0.4495203289173138,0.3914081145584726,0.5278969957081545,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,10,150
MED Under Sampled,Random Forest - SSL - Co Training,0.9037190082644628,0.464367816091954,0.4062751407884151,0.5418454935622318,10,150
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,10,150
MED Normal,Random Forest - SSL - Co Training,0.9080165289256198,0.453071253071253,0.4179510426110607,0.4946351931330472,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,15,100
MED Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9066942148760332,0.4697040864255519,0.4177109440267335,0.5364806866952789,15,100
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,15,100
MED Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9137190082644628,0.478,0.447565543071161,0.5128755364806867,15,100
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,15,100
MED Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9056198347107438,0.46485473289597,0.4126455906821963,0.5321888412017167,15,100
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,15,100
MED Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9066942148760332,0.4697040864255519,0.4177109440267335,0.5364806866952789,15,100
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,15,100
MED Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9137190082644628,0.478,0.447565543071161,0.5128755364806867,15,100
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,15,100
MED Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9056198347107438,0.46485473289597,0.4126455906821963,0.5321888412017167,15,100
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,15,100
MED Over Sampled,Random Forest - AL - Query By Committee,0.9010743801652892,0.4556616643929058,0.3954222573007103,0.5375536480686696,15,100
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,15,100
MED Under Sampled,Random Forest - AL - Query By Committee,0.9027272727272728,0.45635103926097,0.4006488240064882,0.5300429184549357,15,100
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,15,100
MED Normal,Random Forest - AL - Query By Committee,0.9062809917355372,0.4584527220630373,0.4130808950086058,0.5150214592274678,15,100
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,15,100
MED Over Sampled,Random Forest - SSL - Self Training,0.8923140495867768,0.4405324173465006,0.3672154617036506,0.5504291845493562,15,100
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,15,100
MED Under Sampled,Random Forest - SSL - Self Training,0.8866942148760331,0.4374230611407468,0.3541528239202657,0.5718884120171673,15,100
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,15,100
MED Normal,Random Forest - SSL - Self Training,0.904793388429752,0.4519505233111323,0.405982905982906,0.509656652360515,15,100
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,15,100
MED Over Sampled,Random Forest - SSL - Co Training,0.9,0.4434222631094756,0.3880837359098228,0.5171673819742489,15,100
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,15,100
MED Under Sampled,Random Forest - SSL - Co Training,0.9027272727272728,0.4533209475150952,0.3996723996723996,0.5236051502145923,15,100
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,15,100
MED Normal,Random Forest - SSL - Co Training,0.908595041322314,0.4497512437810945,0.4192949907235621,0.4849785407725321,15,100
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,20,75
MED Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9062809917355372,0.4655984919886899,0.4151260504201681,0.5300429184549357,20,75
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,20,75
MED Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9119834710743802,0.4709388971684053,0.4384828862164662,0.5085836909871244,20,75
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,20,75
MED Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9061157024793388,0.4585319351763584,0.4125214408233276,0.5160944206008584,20,75
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,20,75
MED Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9062809917355372,0.4655984919886899,0.4151260504201681,0.5300429184549357,20,75
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,20,75
MED Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9119834710743802,0.4709388971684053,0.4384828862164662,0.5085836909871244,20,75
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,20,75
MED Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9061157024793388,0.4585319351763584,0.4125214408233276,0.5160944206008584,20,75
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,20,75
MED Over Sampled,Random Forest - AL - Query By Committee,0.9029752066115704,0.4644160583941605,0.403968253968254,0.546137339055794,20,75
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,20,75
MED Under Sampled,Random Forest - AL - Query By Committee,0.903801652892562,0.4596100278551532,0.4050736497545008,0.5311158798283262,20,75
