Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Low Over Sampled,XGBoost - SSL - Self Training,0.921060070671378,0.8378574539120337,0.7366943203573708,0.9712266532054518,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,10,150
Low Under Sampled,XGBoost - SSL - Self Training,0.9243462897526502,0.827436124768276,0.7940903465346535,0.8637051993942453,10,150
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,10,150
Low Normal,XGBoost - SSL - Self Training,0.9293992932862192,0.8524590163934426,0.7595736281089617,0.9712266532054518,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,10,150
Low Over Sampled,XGBoost - SSL - Co Training,0.9208127208480564,0.8374319912948858,0.7360367253251722,0.9712266532054518,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,10,150
Low Under Sampled,XGBoost - SSL - Co Training,0.917844522968198,0.8099092469953397,0.7876908396946565,0.8334174659262998,10,150
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,10,150
Low Normal,XGBoost - SSL - Co Training,0.9290812720848056,0.8518709867886929,0.7587430975545622,0.9710583880195188,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9451236749116608,0.8802713746048878,0.812322140011383,0.9606259464916708,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9235689045936396,0.8099464018979,0.8475542478852519,0.7755342419653374,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9326148409893992,0.8581206755449743,0.7691384369165111,0.9703853272757866,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9450530035335688,0.8801541425818883,0.8120022753128555,0.960794211677604,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9036749116607774,0.7458985831469053,0.8361546499477533,0.6732290089180548,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9424028268551236,0.875458435207824,0.8018194541637509,0.9639912502103316,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - AL - Query By Committee,0.9284098939929328,0.85161857331185,0.753987809622617,0.9782937910146392,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - AL - Query By Committee,0.8671024734982332,0.6468876161862736,0.7317332200509771,0.57967356553929,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - AL - Query By Committee,0.9271731448763252,0.8493531174621738,0.7508400103385888,0.9776207302709068,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - SSL - Self Training,0.921095406360424,0.8379182695797344,0.7367883584375797,0.9712266532054518,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - SSL - Self Training,0.9209187279151944,0.8192537554514618,0.7876999534089144,0.8534410230523305,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - SSL - Self Training,0.9293992932862192,0.8524590163934426,0.7595736281089617,0.9712266532054518,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - SSL - Co Training,0.9207067137809188,0.8372025536854324,0.735875526080857,0.9708901228335858,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - SSL - Co Training,0.9010247349823322,0.7634490330208598,0.7663614784672771,0.7605586404172977,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - SSL - Co Training,0.9290812720848056,0.8518709867886929,0.7587430975545622,0.9710583880195188,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,20,75
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9450883392226148,0.8802035152636448,0.812206572769953,0.9606259464916708,20,75
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,20,75
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8809540636042403,0.6710282199004004,0.7994416007445323,0.5781591788658926,20,75
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,20,75
Low Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9386219081272084,0.8688165546408881,0.7881611400383667,0.9678613494867911,20,75
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,20,75
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9452296819787986,0.8804934464148034,0.8125800483848015,0.960794211677604,20,75
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,20,75
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9127561837455832,0.7783861412799569,0.8341669873028088,0.7295978462056201,20,75
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,20,75
Low Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9380565371024736,0.867668151279535,0.786829134720701,0.967020023557126,20,75
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,20,75
Low Over Sampled,XGBoost - AL - Query By Committee,0.9284805653710247,0.8517433343099912,0.7541834219743158,0.9782937910146392,20,75
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,20,75
Low Under Sampled,XGBoost - AL - Query By Committee,0.8427915194346289,0.5577974356425802,0.6813987372510928,0.4721521117280834,20,75
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,20,75
Low Normal,XGBoost - AL - Query By Committee,0.927243816254417,0.8494552899027564,0.7510990431859322,0.977452465084974,20,75
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,20,75
Low Over Sampled,XGBoost - SSL - Self Training,0.921095406360424,0.8379182695797344,0.7367883584375797,0.9712266532054518,20,75
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,20,75
Low Under Sampled,XGBoost - SSL - Self Training,0.9152650176678444,0.80234091658424,0.7863952173210534,0.8189466599360592,20,75
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,20,75
Low Normal,XGBoost - SSL - Self Training,0.9293992932862192,0.8524590163934426,0.7595736281089617,0.9712266532054518,20,75
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,20,75
Low Over Sampled,XGBoost - SSL - Co Training,0.9206007067137808,0.8370203815188221,0.7355940846506884,0.9708901228335858,20,75
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,20,75
Low Under Sampled,XGBoost - SSL - Co Training,0.913321554770318,0.7971889210417528,0.7836475942782835,0.8112064613831398,20,75
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,20,75
Low Normal,XGBoost - SSL - Co Training,0.9291872791519434,0.8520596486047541,0.7590424832303039,0.9710583880195188,20,75
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,25,60
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9452296819787986,0.8805118717237126,0.8124911082657561,0.960962476863537,25,60
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,25,60
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8886925795053003,0.7059372666168783,0.7928286852589641,0.6362106680127881,25,60
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,25,60
Low Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9396466431095406,0.8706060606060606,0.7917872399062974,0.966851758371193,25,60
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,25,60
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9451943462897526,0.8804439990750019,0.812375533428165,0.960962476863537,25,60
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,25,60
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8848056537102473,0.6891685736079328,0.7951595159515952,0.6081103819619721,25,60
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,25,60
Low Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9412014134275618,0.8733444968792815,0.7973592772758861,0.9653373716977958,25,60
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,25,60
Low Over Sampled,XGBoost - AL - Query By Committee,0.928339222614841,0.8515373352855051,0.7536607489957238,0.9786303213865052,25,60
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,25,60
Low Under Sampled,XGBoost - AL - Query By Committee,0.8894699646643109,0.715843023255814,0.7778874629812438,0.66296483257614,25,60
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,25,60
Low Normal,XGBoost - AL - Query By Committee,0.9204946996466432,0.8378728923476005,0.732703213610586,0.9782937910146392,25,60
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,25,60
